run_id,strategy_id,trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,net_pnl,fees,slippage,holding_bars,holding_hours,entry_fill_id,exit_fill_id,attribution_source
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00001,BTCUSDT,long,2024-01-04T22:20:00+00:00,2024-01-04T23:20:00+00:00,44607.68,44292.02,0.01159,-3.6584994,-4.17367316,0.51517376,0.0,1,1.0,fill_459ac7c8b16b46b0,fill_e1d8d17e42064120,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00002,BTCUSDT,long,2024-01-04T22:20:00+00:00,2024-01-11T00:20:00+00:00,44653.60449718,46512.2,0.0909665,169.06992781,164.76405995,4.30586786,0.0,146,146.0,fill_459ac7c8b16b46b0,fill_f6ae3492769d4a19,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00003,BTCUSDT,long,2024-01-04T22:20:00+00:00,2024-01-19T19:55:00+00:00,43432.76225574,41813.05,0.0045095,-7.30409242,-7.5984815,0.29438908,0.0,358,357.5833,fill_459ac7c8b16b46b0,fill_684ae4e0d14d42e7,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00004,BTCUSDT,long,2024-01-04T22:20:00+00:00,2024-01-26T16:00:00+00:00,43309.46002652,41390.0,0.10323288,-198.15138633,-204.9106935,6.75930717,0.0,522,521.6667,fill_459ac7c8b16b46b0,fill_d0284d0269b74257,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00005,BTCUSDT,long,2024-01-29T16:35:00+00:00,2024-01-29T17:35:00+00:00,43000.0,43146.8,0.0423245,6.2132366,4.39017648,1.82306012,0.0,1,1.0,fill_d1258127eaaa4ebc,fill_8fff85f44a404c3c,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00006,BTCUSDT,long,2024-01-29T16:35:00+00:00,2024-02-28T14:50:00+00:00,47435.62564777,60376.95,0.11836553,1531.80671585,1524.51609278,7.29062308,0.0,718,718.25,fill_d1258127eaaa4ebc,fill_799e1b0b4fc14a22,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00007,BTCUSDT,long,2024-02-28T16:30:00+00:00,2024-02-28T17:30:00+00:00,61438.94,61916.06,0.111698,53.29334976,46.40409636,6.8892534,0.0,1,1.0,fill_3f8f285ffb194ee4,fill_311f7106ee1e4bd8,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00008,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-02-29T00:40:00+00:00,62521.04,61813.3,0.0038075,-2.69472005,-2.93142155,0.2367015,0.0,1,1.0,fill_b9deb3b6c06b4310,fill_456d98537a4a4e01,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00009,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-03-04T17:15:00+00:00,63206.91986509,66535.48,0.087423,290.99271267,285.21019524,5.78251744,0.0,114,113.5833,fill_b9deb3b6c06b4310,fill_6020a45ceff84792,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00010,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-03-05T00:00:00+00:00,67460.19162264,68049.92,0.0218335,12.87583453,10.79875,2.07708453,0.0,120,120.3333,fill_b9deb3b6c06b4310,fill_39b96a8278cf4678,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00011,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-03-06T06:10:00+00:00,66840.13502352,66270.99,0.060485,-34.42473675,-40.44642416,6.02168742,0.0,150,150.5,fill_b9deb3b6c06b4310,fill_04975cc9d5c44cc6,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00012,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-03-06T09:15:00+00:00,67015.95449791,67019.04,0.0014985,0.00462362,-0.19667381,0.20129743,0.0,154,153.5833,fill_b9deb3b6c06b4310,fill_3dcb5a214605415b,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00013,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-03-08T21:05:00+00:00,67477.15676152,69077.47,0.0054525,8.72570793,8.05211138,0.67359655,0.0,213,213.4167,fill_b9deb3b6c06b4310,fill_a0e099f5157043c1,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00014,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-03-20T20:15:00+00:00,67312.40490165,66374.8,0.0413715,-38.79012119,-43.82535589,5.0352347,0.0,501,500.5833,fill_b9deb3b6c06b4310,fill_1d094391cf1d4882,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00015,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-04-10T17:55:00+00:00,67504.09910031,69298.26,1.75e-05,0.03139782,0.02844568,0.00295214,0.0,1002,1002.25,fill_b9deb3b6c06b4310,fill_1942dff9b61644cd,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00016,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-04-10T20:50:00+00:00,68185.66142046,69772.98,0.000812,1.28890269,1.17512142,0.11378127,0.0,1005,1005.1667,fill_b9deb3b6c06b4310,fill_e65f666ebc534b50,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00017,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-04-18T15:10:00+00:00,67693.07268398,64080.42,0.009944,-35.92421829,-37.22555264,1.30133435,0.0,1192,1191.5,fill_b9deb3b6c06b4310,fill_69975b3122dd46e5,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00018,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-04-19T07:55:00+00:00,67486.72456355,64524.58,0.030953,-91.68726068,-95.884319,4.19705833,0.0,1208,1208.25,fill_b9deb3b6c06b4310,fill_ea3be5d7e3b74bc1,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00019,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-05-03T13:50:00+00:00,66128.71854623,61699.56,0.000935,-4.14126324,-4.28434543,0.14308219,0.0,1550,1550.1667,fill_b9deb3b6c06b4310,fill_73a9924710854a18,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00020,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-05-03T17:40:00+00:00,65784.37692827,61873.65,0.0178485,-69.80060958,-72.41177189,2.61116231,0.0,1554,1554.0,fill_b9deb3b6c06b4310,fill_b1af8a57f84c440d,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00021,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-05-09T16:30:00+00:00,64992.79453817,62515.2,0.0062145,-15.39701126,-16.3038677,0.90685644,0.0,1697,1696.8333,fill_b9deb3b6c06b4310,fill_e961e456bca84032,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00022,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-05-13T08:55:00+00:00,64830.94033119,62839.18,0.0001415,-0.28183409,-0.30267987,0.02084578,0.0,1785,1785.25,fill_b9deb3b6c06b4310,fill_455d83d6f1c54851,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00023,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-05-15T13:30:00+00:00,64830.94033119,64303.21,0.00275941,-1.45622395,-1.86515843,0.40893448,0.0,1838,1837.8333,fill_b9deb3b6c06b4310,fill_a12794cfe0774416,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00024,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-05-15T14:30:00+00:00,64830.94033119,64200.89,0.016715,-10.53129129,-13.05582855,2.52453727,0.0,1839,1838.8333,fill_b9deb3b6c06b4310,fill_fc02bb27ad6141da,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00025,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-05-21T00:20:00+00:00,65233.33814051,71635.15,0.10149338,649.74152374,632.66446851,17.07705523,0.0,1969,1968.6667,fill_b9deb3b6c06b4310,fill_3ac57c86948d462b,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00026,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-06-17T19:05:00+00:00,66602.64959878,66883.9,0.000375,0.1054689,-0.29077103,0.39623993,0.0,2635,2635.4167,fill_b9deb3b6c06b4310,fill_217fbdc3e96c4e10,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00027,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-07-15T01:50:00+00:00,65174.72738272,61329.58,0.000124,-0.47679828,-0.57775084,0.10095257,0.0,3290,3290.1667,fill_b9deb3b6c06b4310,fill_49e5a66c383a4a51,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00028,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-07-22T20:35:00+00:00,65767.1495304,67883.38,0.0004325,0.91526968,0.63476387,0.28050581,0.0,3477,3476.9167,fill_b9deb3b6c06b4310,fill_e5568b2cc48b4bf3,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00029,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-07-25T22:50:00+00:00,65759.291583,65710.0,0.0007005,-0.03452875,-0.29902198,0.26449323,0.0,3551,3551.1667,fill_b9deb3b6c06b4310,fill_b1273f1238884ec1,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00030,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-08-01T21:50:00+00:00,65577.44330937,64979.72,0.0025375,-1.5167229,-2.37092478,0.85420188,0.0,3718,3718.1667,fill_b9deb3b6c06b4310,fill_608c61feb036438e,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00031,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-08-06T02:00:00+00:00,59461.14496009,55768.49,0.001954,-7.21544779,-7.53673568,0.32128789,0.0,3818,3818.3333,fill_b9deb3b6c06b4310,fill_8e15d7e72ae747d6,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00032,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-08-08T15:10:00+00:00,59461.14496009,59016.83,0.0040857,-1.81533545,-2.5024731,0.68713765,0.0,3880,3879.5,fill_b9deb3b6c06b4310,fill_c24117a6fdc741fb,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00033,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-08-08T16:10:00+00:00,59461.14496009,59619.19,0.0046335,0.73230169,-0.07004207,0.80234377,0.0,3880,3880.5,fill_b9deb3b6c06b4310,fill_135a08e2a5854fde,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00034,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-08-13T17:35:00+00:00,59472.45518067,61200.16,0.0059445,10.2703413,9.21975734,1.05058396,0.0,4002,4001.9167,fill_b9deb3b6c06b4310,fill_a6d97aff75b94c22,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00035,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-08-23T18:50:00+00:00,59501.49335312,63336.91,0.040283,154.50208879,147.07582054,7.42626824,0.0,4243,4243.1667,fill_b9deb3b6c06b4310,fill_e736a62be48546c0,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00036,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-09-09T02:05:00+00:00,59179.78765753,55014.67,1.25e-05,-0.05206397,-0.05515581,0.00309184,0.0,4634,4634.4167,fill_b9deb3b6c06b4310,fill_054d460a5a824b8c,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00037,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-09-09T17:25:00+00:00,59067.37798323,56629.78,0.000252,-0.61427469,-0.67502779,0.0607531,0.0,4650,4649.75,fill_b9deb3b6c06b4310,fill_5813e17257274837,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00038,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-09-10T19:20:00+00:00,59029.40161542,57501.78,0.0007665,-1.17092197,-1.35299937,0.18207741,0.0,4676,4675.6667,fill_b9deb3b6c06b4310,fill_639b520486cc4a83,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00039,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-09-13T16:35:00+00:00,59055.50874139,59537.99,0.005478,2.64303233,1.50520014,1.1378322,0.0,4745,4744.9167,fill_b9deb3b6c06b4310,fill_ad6192c0b34f40bf,ledger_fills
20260620T000000Z_high_vol_non_expansion_trend_guard_eventledger,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1,btc_pullback_reclaim_intraday_high_vol_non_expansion_trend_guard_v1_00040,BTCUSDT,long,2024-02-28T23:40:00+00:00,2024-09-19T01:05:00+00:00,59212.60837254,62023.16,0.0761695,214.07831219,198.05625266,16.02205953,0.0,4873,4873.4167,fill_b9deb3b6c06b4310,fill_13c1c42a2c8f456d,ledger_fills
