event_id,entry_timestamp,trigger_state,context_state,label_horizon,label_timestamp,label_return_bps,future_label_used_for_signal,simulated_order_intent,broker_or_private_endpoint_called
pullback_reclaim_24_dd100_4htrend100_v1_00001,2024-01-04T22:15:00+00:00,"{""prior_high"": 44426.14, ""pullback_depth"": 0.01062978, ""pullback_low"": 43953.9, ""volume_ratio"": 3.39668933}","{""context_interval"": ""15m"", ""feature_time"": ""2024-01-04T22:15:00+00:00"", ""trend_4h"": 0.01150226}",60m,2024-01-04T23:15:00+00:00,-75.390605,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00002,2024-01-10T18:00:00+00:00,"{""prior_high"": 45881.61, ""pullback_depth"": 0.01414423, ""pullback_low"": 45232.65, ""volume_ratio"": 4.70831806}","{""context_interval"": ""15m"", ""feature_time"": ""2024-01-10T18:00:00+00:00"", ""trend_4h"": 0.02754451}",60m,2024-01-10T19:00:00+00:00,-4.908476,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00003,2024-01-10T23:15:00+00:00,"{""prior_high"": 46685.78, ""pullback_depth"": 0.02861214, ""pullback_low"": 45350.0, ""volume_ratio"": 2.41060141}","{""context_interval"": ""15m"", ""feature_time"": ""2024-01-10T23:15:00+00:00"", ""trend_4h"": 0.02454314}",60m,2024-01-11T00:15:00+00:00,-249.546615,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00004,2024-01-15T18:30:00+00:00,"{""prior_high"": 42885.0, ""pullback_depth"": 0.01119109, ""pullback_low"": 42405.07, ""volume_ratio"": 4.85765962}","{""context_interval"": ""15m"", ""feature_time"": ""2024-01-15T18:30:00+00:00"", ""trend_4h"": 0.01488632}",60m,2024-01-15T19:30:00+00:00,-47.972897,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00005,2024-01-15T18:35:00+00:00,"{""prior_high"": 42885.0, ""pullback_depth"": 0.01119109, ""pullback_low"": 42405.07, ""volume_ratio"": 1.83717683}","{""context_interval"": ""15m"", ""feature_time"": ""2024-01-15T18:35:00+00:00"", ""trend_4h"": 0.01488632}",60m,2024-01-15T19:35:00+00:00,-71.203757,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00006,2024-01-19T18:50:00+00:00,"{""prior_high"": 41444.95, ""pullback_depth"": 0.02741999, ""pullback_low"": 40308.53, ""volume_ratio"": 7.09373169}","{""context_interval"": ""15m"", ""feature_time"": ""2024-01-19T18:50:00+00:00"", ""trend_4h"": 0.01155233}",60m,2024-01-19T19:50:00+00:00,-16.622156,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00007,2024-01-23T23:50:00+00:00,"{""prior_high"": 39625.96, ""pullback_depth"": 0.0121756, ""pullback_low"": 39143.49, ""volume_ratio"": 1.4968568}","{""context_interval"": ""15m"", ""feature_time"": ""2024-01-23T23:50:00+00:00"", ""trend_4h"": 0.0126426}",60m,2024-01-24T00:50:00+00:00,80.974158,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00008,2024-01-26T14:55:00+00:00,"{""prior_high"": 41486.79, ""pullback_depth"": 0.0139777, ""pullback_low"": 40906.9, ""volume_ratio"": 2.14028303}","{""context_interval"": ""15m"", ""feature_time"": ""2024-01-26T14:55:00+00:00"", ""trend_4h"": 0.01979049}",60m,2024-01-26T15:55:00+00:00,-25.593373,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00009,2024-01-29T16:30:00+00:00,"{""prior_high"": 42365.0, ""pullback_depth"": 0.0122986, ""pullback_low"": 41843.97, ""volume_ratio"": 1.94046713}","{""context_interval"": ""15m"", ""feature_time"": ""2024-01-29T16:30:00+00:00"", ""trend_4h"": 0.0149319}",60m,2024-01-29T17:30:00+00:00,32.511628,False,long_target_position_replay,False
pullback_reclaim_24_dd100_4htrend100_v1_00010,2024-01-29T16:35:00+00:00,"{""prior_high"": 42365.0, ""pullback_depth"": 0.0122986, ""pullback_low"": 41843.97, ""volume_ratio"": 5.96319371}","{""context_interval"": ""15m"", ""feature_time"": ""2024-01-29T16:35:00+00:00"", ""trend_4h"": 0.0149319}",60m,2024-01-29T17:35:00+00:00,16.36399,False,long_target_position_replay,False
