fill_id,event_id,order_intent_id,timestamp,side,quantity,reference_price,fill_price,fee,cash_flow,simulated
long_reversal_3m_thr0p005_hold15_v1-000001-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000001,long_reversal_3m_thr0p005_hold15_v1-000001-intent,2025-05-23T12:18:00+00:00,buy,1.0,107583.73,107586.98849356659,53.7934942467833,-107640.78198781337,True
long_reversal_3m_thr0p005_hold15_v1-000001-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000001,long_reversal_3m_thr0p005_hold15_v1-000001-intent,2025-05-23T12:33:00+00:00,sell,1.0,108500.0,108496.7137544685,54.24835687723425,108442.46539759127,True
long_reversal_3m_thr0p005_hold15_v1-000002-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000002,long_reversal_3m_thr0p005_hold15_v1-000002-intent,2025-06-21T21:26:00+00:00,buy,1.0,101770.73,101773.81242955485,50.886906214777426,-101824.69933576962,True
long_reversal_3m_thr0p005_hold15_v1-000002-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000002,long_reversal_3m_thr0p005_hold15_v1-000002-intent,2025-06-21T21:41:00+00:00,sell,1.0,101565.58,101562.50378402369,50.781251892011845,101511.72253213168,True
long_reversal_3m_thr0p005_hold15_v1-000003-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000003,long_reversal_3m_thr0p005_hold15_v1-000003-intent,2025-07-10T21:23:00+00:00,buy,1.0,115808.79,115812.29761399674,57.90614880699837,-115870.20376280374,True
long_reversal_3m_thr0p005_hold15_v1-000003-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000003,long_reversal_3m_thr0p005_hold15_v1-000003-intent,2025-07-10T21:38:00+00:00,sell,1.0,116011.69,116008.17624057268,58.00408812028634,115950.17215245239,True
long_reversal_3m_thr0p005_hold15_v1-000004-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000004,long_reversal_3m_thr0p005_hold15_v1-000004-intent,2025-08-01T00:53:00+00:00,buy,1.0,114525.27,114528.73873877218,57.26436936938609,-114586.00310814157,True
long_reversal_3m_thr0p005_hold15_v1-000004-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000004,long_reversal_3m_thr0p005_hold15_v1-000004-intent,2025-08-01T01:08:00+00:00,sell,1.0,114983.56,114980.07738055072,57.49003869027536,114922.58734186045,True
long_reversal_3m_thr0p005_hold15_v1-000005-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000005,long_reversal_3m_thr0p005_hold15_v1-000005-intent,2025-08-11T04:41:00+00:00,buy,1.0,120780.23,120783.88818885836,60.39194409442918,-120844.28013295279,True
long_reversal_3m_thr0p005_hold15_v1-000005-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000005,long_reversal_3m_thr0p005_hold15_v1-000005-intent,2025-08-11T04:56:00+00:00,sell,1.0,121776.55,121772.86163462415,60.886430817312075,121711.97520380684,True
long_reversal_3m_thr0p005_hold15_v1-000006-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000006,long_reversal_3m_thr0p005_hold15_v1-000006-intent,2025-08-14T12:37:00+00:00,buy,1.0,119176.94,119180.54962844732,59.59027481422366,-119240.13990326154,True
long_reversal_3m_thr0p005_hold15_v1-000006-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000006,long_reversal_3m_thr0p005_hold15_v1-000006-intent,2025-08-14T12:52:00+00:00,sell,1.0,119672.35,119668.72536658589,59.834362683292944,119608.8910039026,True
long_reversal_3m_thr0p005_hold15_v1-000007-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000007,long_reversal_3m_thr0p005_hold15_v1-000007-intent,2025-08-14T15:06:00+00:00,buy,1.0,118610.74,118614.33247939461,59.3071662396973,-118673.6396456343,True
long_reversal_3m_thr0p005_hold15_v1-000007-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000007,long_reversal_3m_thr0p005_hold15_v1-000007-intent,2025-08-14T15:21:00+00:00,sell,1.0,118610.73,118607.13752090828,59.30356876045414,118547.83395214782,True
long_reversal_3m_thr0p005_hold15_v1-000008-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000008,long_reversal_3m_thr0p005_hold15_v1-000008-intent,2025-08-23T01:34:00+00:00,buy,1.0,116840.16,116843.69885210785,58.42184942605392,-116902.1207015339,True
long_reversal_3m_thr0p005_hold15_v1-000008-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000008,long_reversal_3m_thr0p005_hold15_v1-000008-intent,2025-08-23T01:49:00+00:00,sell,1.0,117112.2,117108.65290835082,58.55432645417542,117050.09858189664,True
long_reversal_3m_thr0p005_hold15_v1-000009-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000009,long_reversal_3m_thr0p005_hold15_v1-000009-intent,2025-08-24T19:39:00+00:00,buy,1.0,112323.41,112326.8120488866,56.1634060244433,-112382.97545491104,True
long_reversal_3m_thr0p005_hold15_v1-000009-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000009,long_reversal_3m_thr0p005_hold15_v1-000009-intent,2025-08-24T19:54:00+00:00,sell,1.0,112586.68,112583.26997719762,56.29163498859881,112526.97834220903,True
long_reversal_3m_thr0p005_hold15_v1-000010-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000010,long_reversal_3m_thr0p005_hold15_v1-000010-intent,2025-08-29T13:58:00+00:00,buy,1.0,109283.46,109286.76997495016,54.64338498747508,-109341.41335993764,True
long_reversal_3m_thr0p005_hold15_v1-000010-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000010,long_reversal_3m_thr0p005_hold15_v1-000010-intent,2025-08-29T14:13:00+00:00,sell,1.0,109069.11,109065.80651727776,54.532903258638875,109011.27361401911,True
long_reversal_3m_thr0p005_hold15_v1-000011-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000011,long_reversal_3m_thr0p005_hold15_v1-000011-intent,2025-09-05T12:43:00+00:00,buy,1.0,112819.3,112822.71706839163,56.41135853419582,-112879.12842692583,True
long_reversal_3m_thr0p005_hold15_v1-000011-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000011,long_reversal_3m_thr0p005_hold15_v1-000011-intent,2025-09-05T12:58:00+00:00,sell,1.0,112977.57,112974.14813793021,56.487074068965114,112917.66106386125,True
long_reversal_3m_thr0p005_hold15_v1-000012-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000012,long_reversal_3m_thr0p005_hold15_v1-000012-intent,2025-09-13T16:45:00+00:00,buy,1.0,115140.05,115143.53735921484,57.571768679607416,-115201.10912789445,True
long_reversal_3m_thr0p005_hold15_v1-000012-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000012,long_reversal_3m_thr0p005_hold15_v1-000012-intent,2025-09-13T17:00:00+00:00,sell,1.0,115539.98,115536.48052771442,57.7682402638572,115478.71228745056,True
long_reversal_3m_thr0p005_hold15_v1-000013-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000013,long_reversal_3m_thr0p005_hold15_v1-000013-intent,2025-09-30T03:00:00+00:00,buy,1.0,114454.03,114457.49658105668,57.22874829052834,-114514.7253293472,True
long_reversal_3m_thr0p005_hold15_v1-000013-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000013,long_reversal_3m_thr0p005_hold15_v1-000013-intent,2025-09-30T03:15:00+00:00,sell,1.0,114831.74,114828.26197887144,57.41413098943572,114770.847847882,True
long_reversal_3m_thr0p005_hold15_v1-000014-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000014,long_reversal_3m_thr0p005_hold15_v1-000014-intent,2025-10-02T05:06:00+00:00,buy,1.0,118716.39,118719.98567931939,59.35999283965969,-118779.34567215905,True
long_reversal_3m_thr0p005_hold15_v1-000014-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000014,long_reversal_3m_thr0p005_hold15_v1-000014-intent,2025-10-02T05:21:00+00:00,sell,1.0,119215.83,119212.21919365325,59.60610959682663,119152.61308405641,True
long_reversal_3m_thr0p005_hold15_v1-000015-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000015,long_reversal_3m_thr0p005_hold15_v1-000015-intent,2025-10-03T17:03:00+00:00,buy,1.0,121774.24,121777.92829541063,60.888964147705316,-121838.81725955833,True
long_reversal_3m_thr0p005_hold15_v1-000015-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000015,long_reversal_3m_thr0p005_hold15_v1-000015-intent,2025-10-03T17:18:00+00:00,sell,1.0,122800.1,122796.38063336504,61.398190316682516,122734.98244304836,True
long_reversal_3m_thr0p005_hold15_v1-000016-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000016,long_reversal_3m_thr0p005_hold15_v1-000016-intent,2025-10-09T13:57:00+00:00,buy,1.0,122381.04,122384.7466741552,61.192373337077605,-122445.93904749228,True
long_reversal_3m_thr0p005_hold15_v1-000016-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000016,long_reversal_3m_thr0p005_hold15_v1-000016-intent,2025-10-09T14:12:00+00:00,sell,1.0,122380.04,122376.33335613276,61.18816667806637,122315.14518945469,True
long_reversal_3m_thr0p005_hold15_v1-000017-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000017,long_reversal_3m_thr0p005_hold15_v1-000017-intent,2025-10-09T17:01:00+00:00,buy,1.0,119890.0,119893.63122559237,59.94681561279618,-119953.57804120517,True
long_reversal_3m_thr0p005_hold15_v1-000017-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000017,long_reversal_3m_thr0p005_hold15_v1-000017-intent,2025-10-09T17:16:00+00:00,sell,1.0,120335.52,120331.87528050801,60.165937640254015,120271.70934286776,True
long_reversal_3m_thr0p005_hold15_v1-000018-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000018,long_reversal_3m_thr0p005_hold15_v1-000018-intent,2025-10-10T15:00:00+00:00,buy,1.0,120538.82,120542.47087703778,60.27123543851889,-120602.74211247629,True
long_reversal_3m_thr0p005_hold15_v1-000018-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000018,long_reversal_3m_thr0p005_hold15_v1-000018-intent,2025-10-10T15:15:00+00:00,sell,1.0,120505.57,120501.92013003748,60.250960065018745,120441.66916997246,True
long_reversal_3m_thr0p005_hold15_v1-000019-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000019,long_reversal_3m_thr0p005_hold15_v1-000019-intent,2025-10-10T20:58:00+00:00,buy,1.0,115095.56,115099.04601170273,57.549523005851356,-115156.59553470857,True
long_reversal_3m_thr0p005_hold15_v1-000019-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000019,long_reversal_3m_thr0p005_hold15_v1-000019-intent,2025-10-10T21:13:00+00:00,sell,1.0,114000.0,113996.54717059362,56.99827358529681,113939.54889700832,True
long_reversal_3m_thr0p005_hold15_v1-000020-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000020,long_reversal_3m_thr0p005_hold15_v1-000020-intent,2025-10-10T21:27:00+00:00,buy,1.0,111250.0,111253.36953746894,55.62668476873448,-111308.99622223768,True
long_reversal_3m_thr0p005_hold15_v1-000020-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000020,long_reversal_3m_thr0p005_hold15_v1-000020-intent,2025-10-10T21:42:00+00:00,sell,1.0,112402.12,112398.7155671467,56.199357783573355,112342.51620936314,True
long_reversal_3m_thr0p005_hold15_v1-000021-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000021,long_reversal_3m_thr0p005_hold15_v1-000021-intent,2025-10-10T22:43:00+00:00,buy,1.0,113056.21,113059.63424391633,56.52981712195816,-113116.16406103829,True
long_reversal_3m_thr0p005_hold15_v1-000021-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000021,long_reversal_3m_thr0p005_hold15_v1-000021-intent,2025-10-10T22:58:00+00:00,sell,1.0,114069.02,114065.56508011743,57.03278254005872,114008.53229757737,True
long_reversal_3m_thr0p005_hold15_v1-000022-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000022,long_reversal_3m_thr0p005_hold15_v1-000022-intent,2025-10-10T23:01:00+00:00,buy,1.0,114105.49,114108.9460244851,57.05447301224256,-114166.00049749736,True
long_reversal_3m_thr0p005_hold15_v1-000022-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000022,long_reversal_3m_thr0p005_hold15_v1-000022-intent,2025-10-10T23:16:00+00:00,sell,1.0,112795.93,112792.51363943839,56.39625681971919,112736.11738261867,True
long_reversal_3m_thr0p005_hold15_v1-000023-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000023,long_reversal_3m_thr0p005_hold15_v1-000023-intent,2025-10-11T05:56:00+00:00,buy,1.0,111728.53,111731.91403117469,55.86595701558734,-111787.77998819028,True
long_reversal_3m_thr0p005_hold15_v1-000023-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000023,long_reversal_3m_thr0p005_hold15_v1-000023-intent,2025-10-11T06:11:00+00:00,sell,1.0,111683.49,111680.1073329958,55.84005366649791,111624.2672793293,True
long_reversal_3m_thr0p005_hold15_v1-000024-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000024,long_reversal_3m_thr0p005_hold15_v1-000024-intent,2025-10-12T02:38:00+00:00,buy,1.0,110109.18,110112.51498433873,55.056257492169365,-110167.5712418309,True
long_reversal_3m_thr0p005_hold15_v1-000024-fill-exit,long_reversal_3m_thr0p005_hold15_v1-000024,long_reversal_3m_thr0p005_hold15_v1-000024-intent,2025-10-12T02:53:00+00:00,sell,1.0,109621.76,109618.43977862713,54.80921988931357,109563.63055873782,True
long_reversal_3m_thr0p005_hold15_v1-000025-fill-entry,long_reversal_3m_thr0p005_hold15_v1-000025,long_reversal_3m_thr0p005_hold15_v1-000025-intent,2025-10-12T03:13:00+00:00,buy,1.0,110626.79,110630.14066169864,55.315070330849316,-110685.45573202948,True
