variant_id,family,side,trade_count,fill_count,profit_factor,hit_rate,mean_trade_return_bps,median_trade_return_bps,walk_forward_pass_rate,gate_passed
long_reversal_3m_thr0p0015_hold2_v1,long_reversal_3m,long,2313,4626,0.3005089193305888,0.23303069606571553,-9.003317011258249,-10.605438327702721,0.0,False
long_reversal_3m_thr0p0015_hold3_v1,long_reversal_3m,long,2277,4554,0.3511805968814429,0.27624066754501536,-8.832463803951592,-10.60543832770097,0.0,False
long_reversal_3m_thr0p0015_hold5_v1,long_reversal_3m,long,2203,4406,0.41835489242883606,0.3236495687698593,-8.669308941569483,-10.406007933201764,0.0,False
long_reversal_3m_thr0p0015_hold10_v1,long_reversal_3m,long,2045,4090,0.4977417841367907,0.37163814180929094,-8.544068385808002,-9.128327693937674,0.0,False
long_reversal_3m_thr0p0015_hold15_v1,long_reversal_3m,long,1939,3878,0.5601738895323572,0.39195461578133056,-7.880829680236627,-8.60860722563925,0.0,False
long_reversal_3m_thr0p002_hold2_v1,long_reversal_3m,long,1633,3266,0.33937178353147657,0.25290875688916103,-8.726644759218173,-10.605438327702801,0.0,False
long_reversal_3m_thr0p002_hold3_v1,long_reversal_3m,long,1615,3230,0.3945943800734358,0.29411764705882354,-8.487530848440397,-10.602493023628895,0.0,False
long_reversal_3m_thr0p002_hold5_v1,long_reversal_3m,long,1568,3136,0.46547057681221615,0.34119897959183676,-8.283819740574527,-10.239045950960897,0.0,False
long_reversal_3m_thr0p002_hold10_v1,long_reversal_3m,long,1462,2924,0.5372964055496057,0.3905608755129959,-8.180643554353027,-8.684343686930665,0.0,False
long_reversal_3m_thr0p002_hold15_v1,long_reversal_3m,long,1393,2786,0.6386924944943286,0.4221105527638191,-6.53192127346144,-7.202526570454854,0.0,False
long_reversal_3m_thr0p003_hold2_v1,long_reversal_3m,long,761,1522,0.4333866213320357,0.2890932982917214,-7.888231802522194,-10.605438327702526,0.0,False
long_reversal_3m_thr0p003_hold3_v1,long_reversal_3m,long,757,1514,0.5080973124294603,0.3276089828269485,-7.353507369289728,-10.584589446069037,0.0,False
long_reversal_3m_thr0p003_hold5_v1,long_reversal_3m,long,739,1478,0.5470235170022598,0.37483085250338294,-7.703166229787522,-9.986354387794142,0.0,False
long_reversal_3m_thr0p003_hold10_v1,long_reversal_3m,long,696,1392,0.6285472973682225,0.41235632183908044,-7.458963969670089,-8.430825688583948,0.0,False
long_reversal_3m_thr0p003_hold15_v1,long_reversal_3m,long,678,1356,0.7035746103317724,0.4498525073746313,-6.268783611921016,-7.288122250485014,0.0,False
