symbol,fundingRate,fundingTime,markPrice
BTCUSDT,-0.00003746,1777593600000,76305.50000000
BTCUSDT,-0.00001810,1777622400005,77101.09816667
BTCUSDT,-0.00003143,1777651200000,78424.72796268
BTCUSDT,-0.00000822,1777680000006,78192.00000000
BTCUSDT,-0.00005103,1777708800000,78181.60000000
BTCUSDT,-0.00002540,1777737600010,78452.73851449
BTCUSDT,0.00002290,1777766400005,78654.45395802
BTCUSDT,-0.00001398,1777795200003,78316.50000000
BTCUSDT,0.00000703,1777824000000,78627.03676124
BTCUSDT,0.00004304,1777852800000,78528.90000000
BTCUSDT,-0.00000158,1777881600000,79663.30000000
BTCUSDT,-0.00003160,1777910400003,79981.20000000
BTCUSDT,-0.00000383,1777939200000,79826.10000000
BTCUSDT,-0.00004626,1777968000011,80823.36977536
BTCUSDT,-0.00008240,1777996800000,81488.70000000
BTCUSDT,-0.00009153,1778025600010,80861.90000000
BTCUSDT,-0.00006150,1778054400000,81333.30000000
BTCUSDT,-0.00003756,1778083200002,81656.94279710
BTCUSDT,-0.00005856,1778112000000,81396.64037069
BTCUSDT,-0.00004568,1778140800000,81484.05472464
BTCUSDT,-0.00003014,1778169600004,79860.00000000
BTCUSDT,-0.00007406,1778198400003,79969.40000000
BTCUSDT,0.00002415,1778227200002,79644.46728986
BTCUSDT,-0.00001542,1778256000003,80114.80000000
BTCUSDT,0.00001841,1778284800000,80155.20000000
BTCUSDT,-0.00003792,1778313600001,80182.43582759
BTCUSDT,0.00003645,1778342400002,80488.40000000
BTCUSDT,0.00000090,1778371200003,80633.91052174
BTCUSDT,0.00004626,1778400000000,80697.26316667
BTCUSDT,0.00005764,1778428800000,81383.17274363
BTCUSDT,0.00005798,1778457600000,82177.70000000
BTCUSDT,0.00002592,1778486400000,80708.80000000
BTCUSDT,0.00004555,1778515200000,81405.16000000
