sample_index,sample_captured_at,timestamp,ts,symbol,side,level,price,size,liquidation_orders,order_count,source_record_id
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,1,63910.6,184.16,0,38,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:1
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,2,63910.5,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:2
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,3,63910,0.39,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:3
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,4,63909.6,0.03,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:4
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,5,63909.1,0.04,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:5
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,6,63909,38.52,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:6
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,7,63908.9,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:7
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,8,63908.8,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:8
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,9,63908.4,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:9
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,10,63908.1,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:10
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,11,63908,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:11
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,12,63907.9,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:12
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,13,63907.8,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:13
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,14,63907.7,1,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:14
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,15,63907.6,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:15
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,16,63907.5,0.04,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:16
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,17,63907.4,3,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:17
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,18,63907.3,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:18
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,19,63907.2,0.02,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:19
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,20,63907.1,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:20
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,21,63907,1.03,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:21
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,22,63906.9,2.55,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:22
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,23,63906.8,0.02,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:23
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,24,63906.7,1,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:24
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,25,63906.6,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:25
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,26,63906.5,16.03,0,4,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:26
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,27,63906.4,65.98,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:27
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,28,63906.3,0.02,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:28
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,29,63906.2,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:29
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,30,63906.1,1.21,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:30
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,31,63906,0.81,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:31
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,32,63905.9,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:32
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,33,63905.8,1.33,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:33
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,34,63905.6,12,0,2,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:34
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,35,63905.5,1.2,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:35
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,36,63905.4,0.01,0,1,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:36
1,2026-06-20T16:33:04Z,2026-06-20T16:33:05.057000Z,1781973185057,BTCUSDT,bid,37,63905.3,0.52,0,3,okx-book-sample:BTC-USDT-SWAP:1:1781973185057:bid:37
